iteration;stat;count
0;conflicting_iso_vertices;209
0;conflicting_triangles;219
0;extended_conflicting_triangles;1078
0;vertices_to_smooth;832
0;updated_vertices;377
0;conflicting_sharp_vertices;0
0;conflicting_spur_vertices;89
0;conflicting_gully_vertices;120
0;conflicting_sharp_triangles;0
0;conflicting_spur_triangles;108
0;conflicting_gully_triangles;149
1;conflicting_iso_vertices;169
1;conflicting_triangles;191
1;extended_conflicting_triangles;930
1;vertices_to_smooth;717
1;updated_vertices;325
1;conflicting_sharp_vertices;0
1;conflicting_spur_vertices;78
1;conflicting_gully_vertices;91
1;conflicting_sharp_triangles;0
1;conflicting_spur_triangles;99
1;conflicting_gully_triangles;116
2;conflicting_iso_vertices;139
2;conflicting_triangles;168
2;extended_conflicting_triangles;834
2;vertices_to_smooth;644
2;updated_vertices;290
2;conflicting_sharp_vertices;0
2;conflicting_spur_vertices;61
2;conflicting_gully_vertices;78
2;conflicting_sharp_triangles;0
2;conflicting_spur_triangles;74
2;conflicting_gully_triangles;100
3;conflicting_iso_vertices;152
3;conflicting_triangles;160
3;extended_conflicting_triangles;751
3;vertices_to_smooth;577
3;updated_vertices;245
3;conflicting_sharp_vertices;0
3;conflicting_spur_vertices;60
3;conflicting_gully_vertices;92
3;conflicting_sharp_triangles;0
3;conflicting_spur_triangles;75
3;conflicting_gully_triangles;111
