process;region;aandeel
S100 R2 D0;0;0.0017
S100 R2 D0;1;0.0053
S100 R2 D0;2;0.0038
S100 R2 D0;3;0.0216
S100 R2 D0;4;0.0258
S100 R2 D0;5;0.0288
S100 R2 D0;6;0.0831
S100 R2 D0;7;0.127
S100 R2 D0;8;0.2126
S100 R2 D0;9;0.4415
S100 R2 D0;10;0.0394
S100 R2 D0;11;0.0095
S100 R2 D0;12;0.0
S100 R2 D0;13;0.0
S100 R2 D0;14;0.0
S100 R2 D0;15;0.0
S100 R2 D0;16;0.0
S0 R0 D3;0;0.0014
S0 R0 D3;1;0.0052
S0 R0 D3;2;0.0036
S0 R0 D3;3;0.0183
S0 R0 D3;4;0.0192
S0 R0 D3;5;0.0178
S0 R0 D3;6;0.0458
S0 R0 D3;7;0.0684
S0 R0 D3;8;0.2193
S0 R0 D3;9;0.525
S0 R0 D3;10;0.036
S0 R0 D3;11;0.0198
S0 R0 D3;12;0.0107
S0 R0 D3;13;0.0097
S0 R0 D3;14;0.0
S0 R0 D3;15;0.0
S0 R0 D3;16;0.0
original;0;0.0017
original;1;0.0051
original;2;0.0034
original;3;0.0187
original;4;0.0192
original;5;0.0186
original;6;0.0448
original;7;0.0673
original;8;0.2201
original;9;0.5255
original;10;0.0353
original;11;0.0197
original;12;0.0108
original;13;0.0098
original;14;0.0
original;15;0.0
original;16;0.0
